Date,AQI,Category,Risk_Level
2016-03-06 17:00:00,43.0,Good,Low
2016-03-06 17:00:00,43.0,Good,Low
2016-03-06 17:00:00,43.0,Good,Low
2016-03-06 18:00:00,58.0,Moderate,Low
2016-03-06 18:00:00,58.0,Moderate,Low
2016-03-06 18:00:00,58.0,Moderate,Low
2016-03-06 18:00:00,45.0,Good,Low
2016-03-06 18:00:00,42.0,Good,Low
2016-03-06 18:00:00,58.0,Moderate,Low
2016-03-06 18:00:00,58.0,Moderate,Low
2016-03-06 18:00:00,51.0,Moderate,Low
2016-03-06 18:00:00,45.0,Good,Low
2016-03-06 18:00:00,41.0,Good,Low
2016-03-06 18:00:00,67.0,Moderate,Low
2016-03-06 18:00:00,67.0,Moderate,Low
2016-03-06 18:00:00,67.0,Moderate,Low
2016-03-06 18:00:00,44.0,Good,Low
2016-03-06 18:00:00,74.0,Moderate,Low
2016-03-06 18:00:00,74.0,Moderate,Low
2016-03-06 18:00:00,44.0,Good,Low
2016-03-06 18:00:00,48.0,Good,Low
2016-03-06 19:00:00,35.0,Good,Low
2016-03-06 19:00:00,48.0,Good,Low
2016-03-06 19:00:00,48.0,Good,Low
2016-03-06 19:00:00,49.0,Good,Low
2016-03-06 19:00:00,50.0,Good,Low
2016-03-06 19:00:00,44.0,Good,Low
2016-03-06 19:00:00,43.0,Good,Low
2016-03-06 19:00:00,43.0,Good,Low
2016-03-06 19:00:00,43.0,Good,Low
2016-03-06 19:00:00,43.0,Good,Low
2016-03-06 19:00:00,64.0,Moderate,Low
2016-03-06 19:00:00,42.0,Good,Low
2016-03-06 19:00:00,41.0,Good,Low
2016-03-06 19:00:00,74.0,Moderate,Low
2016-03-06 19:00:00,74.0,Moderate,Low
2016-03-06 19:00:00,41.0,Good,Low
2016-03-06 19:00:00,74.0,Moderate,Low
2016-03-06 19:00:00,74.0,Moderate,Low
2016-03-06 19:00:00,74.0,Moderate,Low
2016-03-06 19:00:00,74.0,Moderate,Low
2016-03-06 19:00:00,67.0,Moderate,Low
2016-03-06 19:00:00,45.0,Good,Low
2016-03-06 19:00:00,43.0,Good,Low
2016-03-06 19:00:00,41.0,Good,Low
2016-03-06 19:00:00,47.0,Good,Low
2016-03-06 19:00:00,47.0,Good,Low
2016-03-07 15:00:00,36.0,Good,Low
2016-03-07 15:00:00,36.0,Good,Low
2016-03-10 08:00:00,36.0,Good,Low
2016-03-13 05:00:00,36.0,Good,Low
2016-03-13 05:00:00,36.0,Good,Low
2016-03-16 04:00:00,36.0,Good,Low
2016-03-16 21:00:00,36.0,Good,Low
2016-03-21 14:45:00,36.0,Good,Low
2016-03-22 14:00:00,60.0,Moderate,Low
2016-03-22 22:00:00,60.0,Moderate,Low
2016-03-23 04:00:00,60.0,Moderate,Low
2016-03-23 14:00:00,60.0,Moderate,Low
2016-03-23 15:00:00,60.0,Moderate,Low
2016-03-23 18:00:00,42.0,Good,Low
2016-03-23 18:00:00,43.0,Good,Low
2016-03-23 18:00:00,45.0,Good,Low
2016-03-23 18:00:00,45.0,Good,Low
2016-03-23 18:00:00,39.0,Good,Low
2016-03-23 18:00:00,39.0,Good,Low
2016-03-23 18:00:00,39.0,Good,Low
2016-03-23 18:00:00,45.0,Good,Low
2016-03-23 18:00:00,39.0,Good,Low
2016-03-23 19:00:00,42.0,Good,Low
2016-03-23 19:00:00,43.0,Good,Low
2016-03-23 19:00:00,41.0,Good,Low
2016-03-23 19:00:00,44.0,Good,Low
2016-03-23 19:00:00,45.0,Good,Low
2016-03-23 19:00:00,41.0,Good,Low
2016-03-23 19:00:00,44.0,Good,Low
2016-03-24 08:00:00,44.0,Good,Low
2016-03-25 12:00:00,32.0,Good,Low
2016-03-28 06:00:00,32.0,Good,Low
2016-03-28 08:00:00,32.0,Good,Low
2016-03-31 17:00:00,32.0,Good,Low
2016-04-01 13:00:00,32.0,Good,Low
2016-04-10 20:00:00,32.0,Good,Low
2016-04-12 09:30:00,84.0,Moderate,Low
2016-04-19 13:00:00,84.0,Moderate,Low
2016-04-20 02:00:00,84.0,Moderate,Low
2016-04-20 07:00:00,84.0,Moderate,Low
2016-04-26 18:00:00,30.0,Good,Low
2016-04-27 15:00:00,300.0,Very Unhealthy,High
2016-04-27 16:00:00,300.0,Very Unhealthy,High
2016-04-27 18:00:00,300.0,Very Unhealthy,High
2016-04-27 19:00:00,300.0,Very Unhealthy,High
2016-04-27 20:00:00,300.0,Very Unhealthy,High
2016-04-27 21:00:00,300.0,Very Unhealthy,High
2016-04-29 10:00:00,300.0,Very Unhealthy,High
2016-04-29 12:00:00,300.0,Very Unhealthy,High
2016-05-03 12:00:00,300.0,Very Unhealthy,High
2016-05-23 20:00:00,101.0,Unhealthy for Sensitive Groups,Moderate
2016-05-26 01:00:00,97.0,Moderate,Low
2016-05-26 01:00:00,97.0,Moderate,Low
2016-06-06 09:30:00,97.0,Moderate,Low
2016-06-09 04:00:00,97.0,Moderate,Low
2016-06-09 19:00:00,97.0,Moderate,Low
2016-06-09 19:00:00,97.0,Moderate,Low
2016-06-09 19:00:00,84.0,Moderate,Low
2016-06-09 19:00:00,84.0,Moderate,Low
2016-06-09 19:00:00,84.0,Moderate,Low
2016-06-09 19:00:00,84.0,Moderate,Low
2016-06-13 11:00:00,300.0,Very Unhealthy,High
2016-06-13 22:00:00,300.0,Very Unhealthy,High
2016-06-14 12:00:00,84.0,Moderate,Low
2016-06-19 21:00:00,84.0,Moderate,Low
2016-06-21 16:00:00,300.0,Very Unhealthy,High
2016-06-24 10:45:00,300.0,Very Unhealthy,High
2016-06-24 23:00:00,300.0,Very Unhealthy,High
2016-06-25 10:00:00,300.0,Very Unhealthy,High
2016-06-27 10:00:00,129.0,Unhealthy for Sensitive Groups,Moderate
2016-06-28 04:32:00,98.0,Moderate,Low
2016-06-29 02:00:00,98.0,Moderate,Low
2016-06-30 06:00:00,98.0,Moderate,Low
2016-07-01 12:00:00,98.0,Moderate,Low
2016-07-02 10:00:00,98.0,Moderate,Low
2016-07-06 01:00:00,98.0,Moderate,Low
2016-07-07 16:00:00,98.0,Moderate,Low
2016-07-14 18:00:00,98.0,Moderate,Low
2016-07-24 07:00:00,98.0,Moderate,Low
2016-07-27 00:00:00,300.0,Very Unhealthy,High
2016-07-28 15:00:00,300.0,Very Unhealthy,High
2016-07-28 18:00:00,48.0,Good,Low
2016-07-28 22:00:00,57.0,Moderate,Low
2016-08-02 06:00:00,84.0,Moderate,Low
2016-08-02 10:00:00,84.0,Moderate,Low
2016-08-06 09:00:00,84.0,Moderate,Low
2016-08-07 08:00:00,84.0,Moderate,Low
2016-08-08 16:00:00,124.0,Unhealthy for Sensitive Groups,Moderate
2016-08-08 16:00:00,84.0,Moderate,Low
2016-08-11 14:00:00,84.0,Moderate,Low
2016-08-18 22:00:00,84.0,Moderate,Low
2016-08-19 18:00:00,84.0,Moderate,Low
2016-08-19 22:00:00,47.0,Good,Low
2016-08-21 13:00:00,47.0,Good,Low
2016-08-24 12:00:00,38.0,Good,Low
2016-08-24 14:00:00,42.0,Good,Low
2016-09-07 09:00:00,42.0,Good,Low
2016-09-07 12:00:00,300.0,Very Unhealthy,High
2016-09-07 15:00:00,300.0,Very Unhealthy,High
2016-09-08 20:00:00,300.0,Very Unhealthy,High
2016-09-12 14:00:00,300.0,Very Unhealthy,High
2016-09-12 15:00:00,57.0,Moderate,Low
2016-09-12 19:00:00,26.0,Good,Low
2016-09-13 15:00:00,34.0,Good,Low
2016-09-14 07:00:00,34.0,Good,Low
2016-09-16 15:00:00,40.0,Good,Low
2016-09-19 09:00:00,40.0,Good,Low
2016-09-21 00:00:00,40.0,Good,Low
2016-09-27 11:00:00,40.0,Good,Low
2016-10-01 17:00:00,40.0,Good,Low
2016-10-03 12:00:00,40.0,Good,Low
2016-10-03 20:00:00,40.0,Good,Low
2016-10-06 11:00:00,40.0,Good,Low
2016-10-06 13:00:00,40.0,Good,Low
2016-10-10 13:00:00,40.0,Good,Low
2016-10-13 12:00:00,40.0,Good,Low
2016-10-13 17:00:00,40.0,Good,Low
2016-10-17 17:00:00,53.0,Moderate,Low
2016-10-18 16:00:00,53.0,Moderate,Low
2016-10-20 16:00:00,67.0,Moderate,Low
2016-10-24 09:00:00,67.0,Moderate,Low
2016-10-28 16:00:00,300.0,Very Unhealthy,High
2016-10-28 16:00:00,300.0,Very Unhealthy,High
2016-10-31 04:00:00,67.0,Moderate,Low
2016-11-01 17:00:00,67.0,Moderate,Low
2016-11-01 19:00:00,35.0,Good,Low
2016-11-03 13:00:00,35.0,Good,Low
2016-11-03 16:00:00,33.0,Good,Low
2016-11-03 19:00:00,45.0,Good,Low
2016-11-03 19:00:00,19.0,Good,Low
2016-11-03 19:00:00,25.0,Good,Low
2016-11-03 19:00:00,50.0,Good,Low
2016-11-04 18:00:00,37.0,Good,Low
2016-11-07 17:00:00,41.0,Good,Low
2016-11-07 19:00:00,43.0,Good,Low
2016-11-08 14:00:00,41.0,Good,Low
2016-11-09 04:00:00,41.0,Good,Low
2016-11-09 16:00:00,88.0,Moderate,Low
2016-11-09 16:00:00,66.0,Moderate,Low
2016-11-09 16:00:00,135.0,Unhealthy for Sensitive Groups,Moderate
2016-11-09 16:00:00,85.0,Moderate,Low
2016-11-09 16:00:00,37.0,Good,Low
2016-11-09 16:00:00,85.0,Moderate,Low
2016-11-09 16:00:00,41.0,Good,Low
2016-11-09 16:00:00,126.0,Unhealthy for Sensitive Groups,Moderate
2016-11-09 16:00:00,44.0,Good,Low
2016-11-09 16:00:00,41.0,Good,Low
2016-11-09 16:00:00,53.0,Moderate,Low
2016-11-09 16:00:00,41.0,Good,Low
2016-11-09 16:30:00,186.0,Unhealthy,High
2016-11-09 16:30:00,186.0,Unhealthy,High
2016-11-09 16:30:00,160.0,Unhealthy,High
2016-11-09 16:30:00,162.0,Unhealthy,High
2016-11-09 20:00:00,38.0,Good,Low
2016-11-09 20:00:00,50.0,Good,Low
2016-11-09 20:00:00,48.0,Good,Low
2016-11-09 20:00:00,44.0,Good,Low
2016-11-09 20:00:00,43.0,Good,Low
2016-11-09 20:00:00,45.0,Good,Low
2016-11-09 20:00:00,38.0,Good,Low
2016-11-09 20:00:00,45.0,Good,Low
2016-11-09 20:00:00,47.0,Good,Low
2016-11-09 20:00:00,39.0,Good,Low
2016-11-09 20:00:00,47.0,Good,Low
2016-11-09 20:00:00,50.0,Good,Low
2016-11-09 20:00:00,44.0,Good,Low
2016-11-09 20:00:00,44.0,Good,Low
2016-11-09 20:00:00,29.0,Good,Low
2016-11-09 20:00:00,44.0,Good,Low
2016-11-14 19:00:00,300.0,Very Unhealthy,High
2016-11-18 21:00:00,300.0,Very Unhealthy,High
2016-11-24 00:00:00,300.0,Very Unhealthy,High
2016-11-25 11:00:00,25.0,Good,Low
2016-11-27 11:00:00,25.0,Good,Low
2016-11-27 11:00:00,25.0,Good,Low
2016-11-27 11:00:00,25.0,Good,Low
2016-11-29 01:00:00,300.0,Very Unhealthy,High
2016-11-29 11:00:00,300.0,Very Unhealthy,High
2016-12-01 20:00:00,300.0,Very Unhealthy,High
2016-12-02 12:00:00,300.0,Very Unhealthy,High
2016-12-02 13:00:00,300.0,Very Unhealthy,High
2016-12-03 06:00:00,300.0,Very Unhealthy,High
2016-12-04 18:00:00,300.0,Very Unhealthy,High
2016-12-05 00:00:00,300.0,Very Unhealthy,High
2016-12-05 00:00:00,300.0,Very Unhealthy,High
2016-12-05 01:00:00,108.0,Unhealthy for Sensitive Groups,Moderate
2016-12-05 01:00:00,300.0,Very Unhealthy,High
2016-12-05 01:00:00,300.0,Very Unhealthy,High
2016-12-05 01:00:00,300.0,Very Unhealthy,High
2016-12-05 01:00:00,300.0,Very Unhealthy,High
2016-12-05 01:00:00,300.0,Very Unhealthy,High
2016-12-05 11:00:00,108.0,Unhealthy for Sensitive Groups,Moderate
2016-12-05 14:00:00,108.0,Unhealthy for Sensitive Groups,Moderate
2016-12-05 17:00:00,300.0,Very Unhealthy,High
2016-12-05 17:00:00,108.0,Unhealthy for Sensitive Groups,Moderate
2016-12-05 17:00:00,108.0,Unhealthy for Sensitive Groups,Moderate
2016-12-05 17:00:00,108.0,Unhealthy for Sensitive Groups,Moderate
2016-12-05 17:00:00,108.0,Unhealthy for Sensitive Groups,Moderate
2016-12-05 17:00:00,108.0,Unhealthy for Sensitive Groups,Moderate
2016-12-05 17:00:00,102.0,Unhealthy for Sensitive Groups,Moderate
2016-12-06 17:00:00,300.0,Very Unhealthy,High
2016-12-06 18:00:00,48.0,Good,Low
2016-12-07 11:00:00,45.0,Good,Low
2016-12-07 18:00:00,55.0,Moderate,Low
2016-12-08 15:00:00,55.0,Moderate,Low
2016-12-11 11:00:00,300.0,Very Unhealthy,High
2016-12-11 18:00:00,300.0,Very Unhealthy,High
2016-12-12 06:00:00,300.0,Very Unhealthy,High
2016-12-12 07:00:00,300.0,Very Unhealthy,High
2016-12-12 08:00:00,300.0,Very Unhealthy,High
2016-12-12 08:00:00,300.0,Very Unhealthy,High
2016-12-12 08:00:00,300.0,Very Unhealthy,High
2016-12-12 08:00:00,300.0,Very Unhealthy,High
2016-12-12 08:00:00,300.0,Very Unhealthy,High
2016-12-12 08:00:00,300.0,Very Unhealthy,High
2016-12-12 08:00:00,300.0,Very Unhealthy,High
2016-12-12 08:00:00,300.0,Very Unhealthy,High
2016-12-12 08:00:00,300.0,Very Unhealthy,High
2016-12-12 08:00:00,300.0,Very Unhealthy,High
2016-12-12 09:00:00,300.0,Very Unhealthy,High
2016-12-12 09:00:00,300.0,Very Unhealthy,High
2016-12-12 09:00:00,300.0,Very Unhealthy,High
2016-12-12 09:00:00,300.0,Very Unhealthy,High
2016-12-12 09:00:00,300.0,Very Unhealthy,High
2016-12-12 09:00:00,300.0,Very Unhealthy,High
2016-12-12 09:00:00,300.0,Very Unhealthy,High
2016-12-12 09:00:00,300.0,Very Unhealthy,High
2016-12-12 09:00:00,300.0,Very Unhealthy,High
2016-12-12 09:00:00,300.0,Very Unhealthy,High
2016-12-12 09:00:00,300.0,Very Unhealthy,High
2016-12-12 09:00:00,300.0,Very Unhealthy,High
2016-12-12 09:00:00,300.0,Very Unhealthy,High
2016-12-12 09:00:00,300.0,Very Unhealthy,High
2016-12-12 09:00:00,300.0,Very Unhealthy,High
2016-12-12 09:00:00,300.0,Very Unhealthy,High
2016-12-12 09:00:00,300.0,Very Unhealthy,High
2016-12-12 09:00:00,300.0,Very Unhealthy,High
2016-12-12 09:00:00,300.0,Very Unhealthy,High
2016-12-12 09:00:00,300.0,Very Unhealthy,High
2016-12-12 09:00:00,300.0,Very Unhealthy,High
2016-12-12 09:00:00,300.0,Very Unhealthy,High
2016-12-12 09:00:00,300.0,Very Unhealthy,High
2016-12-12 09:00:00,300.0,Very Unhealthy,High
2016-12-12 09:00:00,300.0,Very Unhealthy,High
2016-12-12 09:00:00,300.0,Very Unhealthy,High
2016-12-12 09:00:00,300.0,Very Unhealthy,High
2016-12-12 09:00:00,300.0,Very Unhealthy,High
2016-12-12 09:00:00,300.0,Very Unhealthy,High
2016-12-12 09:00:00,300.0,Very Unhealthy,High
2016-12-12 09:00:00,300.0,Very Unhealthy,High
2016-12-12 09:00:00,300.0,Very Unhealthy,High
2016-12-12 09:00:00,300.0,Very Unhealthy,High
2016-12-12 09:00:00,300.0,Very Unhealthy,High
2016-12-12 09:00:00,300.0,Very Unhealthy,High
2016-12-12 09:00:00,300.0,Very Unhealthy,High
2016-12-12 09:00:00,300.0,Very Unhealthy,High
2016-12-12 09:00:00,300.0,Very Unhealthy,High
2016-12-12 09:00:00,300.0,Very Unhealthy,High
2016-12-12 09:00:00,300.0,Very Unhealthy,High
2016-12-12 09:00:00,300.0,Very Unhealthy,High
2016-12-12 09:00:00,300.0,Very Unhealthy,High
2016-12-12 09:00:00,300.0,Very Unhealthy,High
2016-12-12 09:00:00,300.0,Very Unhealthy,High
2016-12-12 09:00:00,300.0,Very Unhealthy,High
2016-12-12 09:00:00,300.0,Very Unhealthy,High
2016-12-12 09:00:00,300.0,Very Unhealthy,High
2016-12-12 09:00:00,300.0,Very Unhealthy,High
2016-12-12 09:00:00,300.0,Very Unhealthy,High
2016-12-12 09:00:00,300.0,Very Unhealthy,High
2016-12-12 09:00:00,300.0,Very Unhealthy,High
2016-12-12 09:00:00,300.0,Very Unhealthy,High
2016-12-12 09:00:00,300.0,Very Unhealthy,High
2016-12-12 09:00:00,300.0,Very Unhealthy,High
2016-12-12 09:00:00,300.0,Very Unhealthy,High
2016-12-12 09:00:00,300.0,Very Unhealthy,High
2016-12-12 09:00:00,300.0,Very Unhealthy,High
2016-12-12 09:00:00,300.0,Very Unhealthy,High
2016-12-12 09:00:00,300.0,Very Unhealthy,High
2016-12-12 09:00:00,300.0,Very Unhealthy,High
2016-12-12 09:00:00,300.0,Very Unhealthy,High
2016-12-12 09:00:00,300.0,Very Unhealthy,High
2016-12-12 09:00:00,300.0,Very Unhealthy,High
2016-12-12 09:00:00,300.0,Very Unhealthy,High
2016-12-12 09:00:00,300.0,Very Unhealthy,High
2016-12-12 09:00:00,300.0,Very Unhealthy,High
2016-12-12 09:00:00,300.0,Very Unhealthy,High
2016-12-12 09:00:00,300.0,Very Unhealthy,High
2016-12-12 09:00:00,300.0,Very Unhealthy,High
2016-12-12 09:00:00,300.0,Very Unhealthy,High
2016-12-12 09:00:00,300.0,Very Unhealthy,High
2016-12-12 09:00:00,300.0,Very Unhealthy,High
2016-12-12 09:00:00,300.0,Very Unhealthy,High
2016-12-12 09:00:00,300.0,Very Unhealthy,High
2016-12-12 09:00:00,300.0,Very Unhealthy,High
2016-12-12 09:00:00,300.0,Very Unhealthy,High
2016-12-12 09:00:00,300.0,Very Unhealthy,High
2016-12-12 09:00:00,300.0,Very Unhealthy,High
2016-12-12 09:00:00,300.0,Very Unhealthy,High
2016-12-12 09:00:00,300.0,Very Unhealthy,High
2016-12-12 09:00:00,300.0,Very Unhealthy,High
2016-12-12 09:00:00,300.0,Very Unhealthy,High
2016-12-12 09:00:00,300.0,Very Unhealthy,High
2016-12-12 09:00:00,300.0,Very Unhealthy,High
2016-12-12 09:00:00,300.0,Very Unhealthy,High
2016-12-12 09:00:00,300.0,Very Unhealthy,High
2016-12-12 09:00:00,300.0,Very Unhealthy,High
2016-12-12 09:00:00,300.0,Very Unhealthy,High
2016-12-12 09:00:00,300.0,Very Unhealthy,High
2016-12-12 09:00:00,300.0,Very Unhealthy,High
2016-12-12 09:00:00,300.0,Very Unhealthy,High
2016-12-12 09:00:00,300.0,Very Unhealthy,High
2016-12-12 09:00:00,300.0,Very Unhealthy,High
2016-12-12 09:00:00,300.0,Very Unhealthy,High
2016-12-12 09:00:00,300.0,Very Unhealthy,High
2016-12-12 09:00:00,300.0,Very Unhealthy,High
2016-12-12 09:00:00,300.0,Very Unhealthy,High
2016-12-12 09:00:00,300.0,Very Unhealthy,High
2016-12-12 09:00:00,300.0,Very Unhealthy,High
2016-12-12 09:00:00,300.0,Very Unhealthy,High
2016-12-12 09:00:00,300.0,Very Unhealthy,High
2016-12-12 09:00:00,300.0,Very Unhealthy,High
2016-12-12 11:00:00,300.0,Very Unhealthy,High
2016-12-19 09:00:00,300.0,Very Unhealthy,High
2016-12-19 11:00:00,300.0,Very Unhealthy,High
2016-12-19 15:00:00,51.0,Moderate,Low
2016-12-21 06:00:00,51.0,Moderate,Low
2016-12-21 06:00:00,51.0,Moderate,Low
2016-12-21 10:00:00,45.0,Good,Low
2016-12-21 11:00:00,71.0,Moderate,Low
2016-12-21 11:00:00,71.0,Moderate,Low
2016-12-21 11:00:00,300.0,Very Unhealthy,High
2016-12-21 11:00:00,300.0,Very Unhealthy,High
2016-12-21 11:00:00,300.0,Very Unhealthy,High
2016-12-21 11:00:00,300.0,Very Unhealthy,High
2016-12-21 11:00:00,300.0,Very Unhealthy,High
2016-12-21 11:00:00,300.0,Very Unhealthy,High
2016-12-21 13:00:00,300.0,Very Unhealthy,High
2016-12-27 13:00:00,71.0,Moderate,Low
2016-12-28 16:00:00,300.0,Very Unhealthy,High
2016-12-30 07:00:00,300.0,Very Unhealthy,High
2017-01-03 09:00:00,300.0,Very Unhealthy,High
2017-01-03 11:00:00,300.0,Very Unhealthy,High
2017-01-03 11:00:00,300.0,Very Unhealthy,High
2017-01-03 13:00:00,300.0,Very Unhealthy,High
2017-01-03 13:00:00,300.0,Very Unhealthy,High
2017-01-03 18:00:00,300.0,Very Unhealthy,High
2017-01-04 12:00:00,300.0,Very Unhealthy,High
2017-01-04 13:00:00,300.0,Very Unhealthy,High
2017-01-04 15:00:00,300.0,Very Unhealthy,High
2017-01-04 15:00:00,300.0,Very Unhealthy,High
2017-01-04 16:00:00,300.0,Very Unhealthy,High
2017-01-04 17:00:00,84.0,Moderate,Low
2017-01-04 19:00:00,84.0,Moderate,Low
2017-01-05 12:00:00,300.0,Very Unhealthy,High
2017-01-05 12:00:00,300.0,Very Unhealthy,High
2017-01-05 15:00:00,300.0,Very Unhealthy,High
2017-01-05 20:00:00,300.0,Very Unhealthy,High
2017-01-06 09:00:00,300.0,Very Unhealthy,High
2017-01-06 09:00:00,300.0,Very Unhealthy,High
2017-01-06 09:00:00,300.0,Very Unhealthy,High
2017-01-06 09:00:00,300.0,Very Unhealthy,High
2017-01-06 09:00:00,300.0,Very Unhealthy,High
2017-01-06 09:00:00,300.0,Very Unhealthy,High
2017-01-06 10:00:00,300.0,Very Unhealthy,High
2017-01-06 10:00:00,300.0,Very Unhealthy,High
2017-01-06 10:00:00,300.0,Very Unhealthy,High
2017-01-06 10:00:00,300.0,Very Unhealthy,High
2017-01-06 10:00:00,300.0,Very Unhealthy,High
2017-01-06 10:00:00,300.0,Very Unhealthy,High
2017-01-06 10:00:00,300.0,Very Unhealthy,High
2017-01-07 17:00:00,300.0,Very Unhealthy,High
2017-01-08 07:00:00,300.0,Very Unhealthy,High
2017-01-08 07:00:00,300.0,Very Unhealthy,High
2017-01-08 07:00:00,300.0,Very Unhealthy,High
2017-01-08 07:00:00,300.0,Very Unhealthy,High
2017-01-08 07:00:00,300.0,Very Unhealthy,High
2017-01-08 07:00:00,300.0,Very Unhealthy,High
2017-01-08 07:00:00,300.0,Very Unhealthy,High
2017-01-08 07:00:00,300.0,Very Unhealthy,High
2017-01-08 07:00:00,300.0,Very Unhealthy,High
2017-01-08 07:00:00,300.0,Very Unhealthy,High
2017-01-08 07:00:00,300.0,Very Unhealthy,High
2017-01-08 07:00:00,300.0,Very Unhealthy,High
2017-01-08 08:00:00,300.0,Very Unhealthy,High
2017-01-08 08:00:00,300.0,Very Unhealthy,High
2017-01-08 19:00:00,300.0,Very Unhealthy,High
2017-01-09 13:00:00,300.0,Very Unhealthy,High
2017-01-10 10:00:00,300.0,Very Unhealthy,High
2017-01-10 14:00:00,300.0,Very Unhealthy,High
2017-01-10 15:00:00,300.0,Very Unhealthy,High
2017-01-10 16:00:00,300.0,Very Unhealthy,High
2017-01-10 18:00:00,186.0,Unhealthy,High
2017-01-11 07:00:00,186.0,Unhealthy,High
2017-01-11 15:00:00,38.0,Good,Low
2017-01-12 14:00:00,68.0,Moderate,Low
2017-01-12 15:00:00,68.0,Moderate,Low
2017-01-12 15:00:00,68.0,Moderate,Low
2017-01-13 14:00:00,68.0,Moderate,Low
2017-01-18 09:00:00,68.0,Moderate,Low
2017-01-18 13:00:00,68.0,Moderate,Low
2017-01-18 16:00:00,34.0,Good,Low
2017-01-18 16:00:00,44.0,Good,Low
2017-01-18 16:00:00,32.0,Good,Low
2017-01-18 16:00:00,32.0,Good,Low
2017-01-18 20:00:00,44.0,Good,Low
2017-01-19 13:00:00,44.0,Good,Low
2017-01-19 16:00:00,44.0,Good,Low
2017-01-20 00:00:00,51.0,Moderate,Low
2017-01-23 15:00:00,51.0,Moderate,Low
2017-01-24 01:00:00,51.0,Moderate,Low
2017-01-24 09:00:00,54.0,Moderate,Low
2017-01-24 12:00:00,54.0,Moderate,Low
2017-01-24 12:00:00,154.0,Unhealthy,High
2017-01-24 20:00:00,154.0,Unhealthy,High
2017-01-25 01:00:00,154.0,Unhealthy,High
2017-01-26 17:00:00,154.0,Unhealthy,High
2017-02-01 10:00:00,154.0,Unhealthy,High
2017-02-03 07:00:00,80.0,Moderate,Low
2017-02-03 08:00:00,80.0,Moderate,Low
2017-02-12 01:45:00,300.0,Very Unhealthy,High
2017-02-13 13:00:00,300.0,Very Unhealthy,High
2017-02-15 01:00:00,300.0,Very Unhealthy,High
2017-02-17 08:00:00,300.0,Very Unhealthy,High
2017-02-20 16:00:00,300.0,Very Unhealthy,High
2017-02-24 10:00:00,300.0,Very Unhealthy,High
2017-02-24 17:00:00,300.0,Very Unhealthy,High
2017-02-28 17:00:00,50.0,Good,Low
2017-03-01 09:00:00,300.0,Very Unhealthy,High
2017-03-06 09:00:00,300.0,Very Unhealthy,High
2017-03-06 10:00:00,300.0,Very Unhealthy,High
2017-03-06 15:00:00,300.0,Very Unhealthy,High
2017-03-07 09:00:00,300.0,Very Unhealthy,High
2017-03-07 10:00:00,300.0,Very Unhealthy,High
2017-03-07 11:00:00,300.0,Very Unhealthy,High
2017-03-07 16:00:00,42.0,Good,Low
2017-03-08 19:00:00,42.0,Good,Low
2017-03-09 19:00:00,300.0,Very Unhealthy,High
2017-03-09 20:00:00,300.0,Very Unhealthy,High
2017-03-13 00:00:00,300.0,Very Unhealthy,High
2017-03-13 12:00:00,300.0,Very Unhealthy,High
2017-03-14 11:00:00,300.0,Very Unhealthy,High
2017-03-16 11:00:00,300.0,Very Unhealthy,High
2017-03-18 11:00:00,300.0,Very Unhealthy,High
2017-03-18 12:00:00,300.0,Very Unhealthy,High
2017-03-20 13:00:00,91.0,Moderate,Low
2017-03-23 00:00:00,84.0,Moderate,Low
2017-03-27 11:00:00,84.0,Moderate,Low
2017-03-27 12:00:00,300.0,Very Unhealthy,High
2017-03-28 14:00:00,300.0,Very Unhealthy,High
2017-03-28 16:00:00,300.0,Very Unhealthy,High
2017-03-28 16:00:00,300.0,Very Unhealthy,High
2017-03-28 16:00:00,300.0,Very Unhealthy,High
2017-03-28 16:00:00,300.0,Very Unhealthy,High
2017-03-28 16:00:00,300.0,Very Unhealthy,High
2017-03-29 16:00:00,300.0,Very Unhealthy,High
2017-03-29 16:00:00,300.0,Very Unhealthy,High
2017-03-30 14:00:00,300.0,Very Unhealthy,High
2017-03-30 15:00:00,300.0,Very Unhealthy,High
2017-03-30 16:00:00,36.0,Good,Low
2017-03-30 17:00:00,38.0,Good,Low
2017-04-05 08:00:00,38.0,Good,Low
2017-04-07 10:00:00,38.0,Good,Low
2017-04-07 18:00:00,19.0,Good,Low
2017-04-10 13:00:00,64.0,Moderate,Low
2017-04-10 22:00:00,64.0,Moderate,Low
2017-04-12 07:00:00,300.0,Very Unhealthy,High
2017-04-13 13:00:00,300.0,Very Unhealthy,High
2017-04-13 14:00:00,300.0,Very Unhealthy,High
2017-04-14 15:00:00,300.0,Very Unhealthy,High
2017-04-18 00:00:00,300.0,Very Unhealthy,High
2017-04-19 18:00:00,19.0,Good,Low
2017-04-19 22:00:00,19.0,Good,Low
2017-04-20 14:00:00,19.0,Good,Low
2017-04-21 06:00:00,21.0,Good,Low
2017-04-24 16:00:00,21.0,Good,Low
2017-04-25 10:00:00,21.0,Good,Low
2017-04-26 14:00:00,21.0,Good,Low
2017-04-28 11:00:00,46.0,Good,Low
2017-04-28 12:00:00,46.0,Good,Low
2017-04-28 14:00:00,46.0,Good,Low
2017-04-28 17:00:00,49.0,Good,Low
2017-05-02 14:00:00,49.0,Good,Low
2017-05-03 22:00:00,49.0,Good,Low
2017-05-04 13:00:00,8.0,Good,Low
2017-05-04 14:00:00,21.0,Good,Low
2017-05-06 14:00:00,36.0,Good,Low
